ID_STUDENT	CLASS	CEFR	SEX	AGE	MONTHSINIT	DATA_COLLECTION	COMPOSITION	COLL_ID	W1	W2	NOUN_LENGTH	ADJ_LENGTH	LENGTH	FREQ_PAISA	W1freq_PAISA	W2freq_PAISA
s136593	T301	B1	f	20	1,5	1	c	na718	zuppa	salato	5	6	11	0	681	1487
s136688	T103	A1	m	23	7	2	c	na181	zona	antico	4	6	10	16	79079	81220
s136470	M201	A2	f	19	7	2	b	na565	volta	scorso	5	6	11	51	219427	19762
s136565	M301	B1	m	18	2	1	c	na717	volta	scorso	5	6	11	51	219427	19762
s136593	T301	B1	f	20	6,5	2	b	na717	volta	scorso	5	6	11	51	219427	19762
s136367	T201	A2	m	19	7	2	a	na566	volta	vivo	5	4	9	0	219427	20687
s136754	M102	A1	f	27	1	1	a	na113	voce	speciale	4	8	12	2	126119	30502
s136608	T203	A2	m	18	7	2	a	na564	vitto	delizioso	5	9	14	0	334	1059
s136619	T203	A2	m	23	7	2	b	na564	vitto	delizioso	5	9	14	0	334	1059
s136599	M301	B1	m	18	2	1	a	na352	vita	bello	4	5	9	4	156189	56888
s136955	T206	A2	f	18	1	1	b	na352	vita	bello	4	5	9	4	156189	56888
s136583	T301	B1	m	23	7	2	b	na868	vita	dolce	4	5	9	4	156189	10970
s136426	T202	A2	m	24	7	2	b	na180	vita	italiano	4	8	12	50	156189	153767
s136437	M101	A1	f	21	7	2	a	na180	vita	italiano	4	8	12	50	156189	153767
s136498	M202	A2	f	19	2	1	a	na180	vita	italiano	4	8	12	50	156189	153767
s136565	M301	B1	m	18	7	2	b	na180	vita	italiano	4	8	12	50	156189	153767
s136585	T203	A2	f	23	2	1	b	na353	vita	notturno	4	8	12	287	156189	7084
s136434	T202	A2	f	20	2	1	a	na354	vita	nuovo	4	5	9	95	156189	306784
s136565	M301	B1	m	18	7	2	b	na354	vita	nuovo	4	5	9	95	156189	306784
s136597	T301	B1	m	19	7	2	b	na869	vita	ordinale	4	8	12	0	156189	382
s136585	T203	A2	f	23	2	1	b	na355	vita	privato	4	7	11	3537	156189	37874
s136694	M203	A2	f	18	1,5	1	a	na356	vita	quotidiano	4	10	14	2281	156189	9848
s136525	M301	B1	f	18	3	1	b	na714	vita	sano	4	4	8	43	156189	5148
s136594	T301	B1	f	18	1,5	1	a	na715	vita	semplice	4	8	12	118	156189	41229
s136504	T202	A2	f	18	7	2	b	na563	vita	tranquillo	4	10	14	153	156189	8051
s136711	T302	B1	f	18	1	1	a	na716	vita	veloce	4	6	10	0	156189	15354
s136590	T203	A2	f	18	7	2	a	na562	vista	bravo	5	5	10	0	40118	10774
s136412	M201	A2	f	19	2	1	c	na351	vista	caratteristico	5	14	19	0	40118	12532
s136826	T302	B1	m	23	1	1	b	na713	vista	incredibile	5	11	16	1	40118	7121
s136688	T103	A1	m	23	7	2	c	na179	vista	meraviglioso	5	12	17	3	40118	3542
s136395	T201	A2	f	22	2	1	a	na350	viso	dolce	4	5	9	11	4409	10970
s136677	T302	B1	f	19	1	1	c	na712	viso	sporco	4	6	10	1	4409	2796
s136747	M203	A2	f	22	1	1	a	na073	vino	bianco	4	6	10	411	13454	35819
s136799	T104	A1	f	33	6	2	c	na073	vino	bianco	4	6	10	411	13454	35819
s136459	T202	A2	m	24	2	1	a	na348	vino	naturale	4	8	12	1	13454	34727
s136393	T201	A2	m	19	1	1	b	na349	vino	rosso	4	5	9	407	13454	25240
s136747	M203	A2	f	22	1	1	a	na349	vino	rosso	4	5	9	407	13454	25240
s136823	T206	A2	f	20	7	2	c	na561	villaggio	vecchio	9	7	16	3	19405	45185
s136415	M201	A2	f	19	7	2	b	na560	viaggio	corto	7	5	12	1	31820	10119
s136409	M201	A2	f	19	2	1	c	na347	viaggio	felice	7	6	13	1	31820	10159
s136599	M301	B1	m	18	2	1	a	na710	viaggio	indimenticabile	7	15	22	10	31820	1382
s136587	T301	B1	f	22	1,5	1	c	na711	viaggio	perfetto	7	8	15	2	31820	20862
s136712	T103	A1	m	20	7	2	b	na178	viaggio	scorso	7	6	13	0	31820	19762
s136599	M301	B1	m	18	7	2	c	na867	viaggio	terribile	7	9	16	3	31820	7213
s136801	T302	B1	f	25	1	1	b	na709	viaggetto	vicino	9	6	15	0	38	29708
s136671	T302	B1	f	24	2	1	c	na708	via	piccolo	3	7	10	2	87971	121086
s136116	M203	A2	f	23	4	1	b	na346	vestito	bello	7	5	12	2	5621	56888
s136434	T202	A2	f	20	2	1	a	na346	vestito	bello	7	5	12	2	5621	56888
s136953	M102	A1	f	25	1	1	b	na028	vestito	buono	7	5	12	13	4886	48074
s136847	T104	A1	f	19	6	2	a	na072	vestito	elegante	7	8	15	31	4886	6006
s136763	T302	B1	m	19	1	1	a	na707	vestito	italiano	7	8	15	0	4886	153767
s136537	M301	B1	f	18	7	2	c	na866	vestito	nuovo	7	5	12	60	4886	306784
s136506	M301	B1	f	19	2	1	b	na706	veste	bello	5	5	10	0	7494	56888
s136577	M201	A2	f	23	7	2	c	na559	versante	bianco	8	6	14	0	5621	35819
s136577	M201	A2	f	23	2	1	b	na345	verdura	economico	7	9	16	0	2304	50879
s136376	M201	A2	f	19	7	2	c	na557	vento	fresco	5	6	11	20	11316	6132
s136631	M203	A2	m	19	7	2	c	na558	vento	grande	5	6	11	0	11316	233908
s136564	T301	B1	m	24	7	2	a	na865	vento	leggero	5	7	12	24	11316	19641
s136525	M301	B1	f	18	8	2	a	na864	velo	gustoso	4	7	11	0	2422	868
s136577	M201	A2	f	23	2	1	b	na344	vecchietto	gentile	10	7	17	0	761	3594
s136641	T204	A2	f	19	7	2	a	na556	valigia	pesante	7	7	14	3	1500	18744
s136116	M203	A2	f	23	4	1	b	na339	vacanza	bello	7	5	12	1	6595	56888
s136458	M301	B1	m	20	7	2	c	na339	vacanza	bello	7	5	12	1	6595	56888
s136599	M301	B1	m	18	7	2	c	na339	vacanza	bello	7	5	12	1	6595	56888
s136701	M203	A2	m	18	1,5	1	c	na340	vacanza	contento	7	8	15	0	6595	4720
s136641	T204	A2	f	19	2	1	c	na341	vacanza	economico	7	9	16	2	6595	50879
s136437	M101	A1	f	21	7	2	a	na071	vacanza	estivo	7	6	13	370	6595	10748
s136703	T302	B1	f	22	1	1	b	na071	vacanza	estivo	7	6	13	370	6595	10748
s136826	T302	B1	m	23	1	1	b	na071	vacanza	estivo	7	6	13	370	6595	10748
s136847	T104	A1	f	19	6	2	a	na071	vacanza	estivo	7	6	13	370	6595	10748
s136380	M301	B1	f	23	3	1	c	na554	vacanza	indimenticabile	7	15	22	11	6595	1382
s136613	M301	B1	f	23	2	1	c	na554	vacanza	indimenticabile	7	15	22	11	6595	1382
s136751	M203	A2	f	20	6	2	c	na554	vacanza	indimenticabile	7	15	22	11	6595	1382
s136437	M101	A1	f	21	7	2	a	na174	vacanza	italiano	7	8	15	3	6595	153767
s136367	T201	A2	m	19	2	1	b	na342	vacanza	lungo	7	5	12	1	6595	81861
s136376	M201	A2	f	19	7	2	c	na342	vacanza	lungo	7	5	12	1	6595	81861
s136422	M201	A2	f	19	7	2	c	na342	vacanza	lungo	7	5	12	1	6595	81861
s136595	M301	B1	m	25	8	2	c	na342	vacanza	lungo	7	5	12	1	6595	81861
s136956	M102	A1	m	17	5,5	2	b	na175	vacanza	lungo	7	5	12	1	6595	81861
s136586	M301	B1	f	18	2	1	c	na705	vacanza	meraviglioso	7	12	19	0	6595	3542
s136579	T301	B1	f	22	6	2	c	na861	vacanza	mezzo	7	5	12	0	6595	10285
s136415	M201	A2	f	19	2	1	c	na343	vacanza	prossimo	7	8	15	0	6595	34164
s136598	T203	A2	m	18	2	1	b	na343	vacanza	prossimo	7	8	15	0	6595	34164
s136633	M301	B1	f	18	8	2	b	na862	vacanza	romano	7	6	13	16	6595	47051
s136481	M101	A1	m	20	1	1	c	na112	vacanza	salvo	7	5	12	0	6595	9883
s136599	M301	B1	m	18	7	2	c	na176	vacanza	scorso	7	6	13	0	6595	19762
s136736	T103	A1	f	19	7	2	c	na176	vacanza	scorso	7	6	13	0	6595	19762
s136575	T301	B1	f	24	6	2	c	na863	vacanza	semplice	7	8	15	0	6595	41229
s136578	M201	A2	f	23	7	2	c	na555	vacanza	sicuro	7	6	13	2	6595	16285
s136397	M301	B1	m	19	7	2	c	na177	vacanza	ultimo	7	6	13	0	6595	193075
s136459	T202	A2	m	24	7	2	c	na177	vacanza	ultimo	7	6	13	0	6595	193075
s136578	M201	A2	f	23	7	2	c	na177	vacanza	ultimo	7	6	13	0	6595	193075
s136777	T104	A1	m	NA	6	2	c	na177	vacanza	ultimo	7	6	13	0	6595	193075
s136633	M301	B1	f	18	3	1	c	na702	uomo	bello	4	5	9	19	122960	56888
s136577	M201	A2	f	23	7	2	c	na553	uomo	gentile	4	7	11	21	122960	3594
s136544	T301	B1	f	18	6	2	c	na703	uomo	italiano	4	8	12	33	122960	153767
s136595	M301	B1	m	25	3	1	a	na703	uomo	italiano	4	8	12	33	122960	153767
s136763	T302	B1	m	19	1	1	a	na703	uomo	italiano	4	8	12	33	122960	153767
s136397	M301	B1	m	19	7	2	c	na860	uomo	nero	4	4	8	113	122960	33417
s136595	M301	B1	m	25	3	1	a	na704	uomo	vecchio	4	7	11	47	122960	45185
s136437	M101	A1	f	21	2	1	b	na111	università	inglese	10	7	17	27	24988	39182
s136579	T301	B1	f	22	1	1	a	na701	università	normale	10	7	17	0	24988	21006
s136631	M203	A2	m	19	2	1	b	na110	tv	cinese	2	6	8	3	32186	13868
s136817	M102	A1	f	22	1	1	b	na110	tv	cinese	2	6	8	3	32186	13868
